v1,v2,v3,v4
0.024169921875,0.124072265625,0.800830078125,1.00224609375
0.024169921875,0.1248779296875,0.7887451171875,1.007080078125
0.023095703125,0.124609375,0.783642578125,1.011376953125
0.02255859375,0.12447509765625,0.78109130859375,1.01312255859375
0.022880859375,0.12439453125,0.7798828125,1.012880859375
0.023095703125,0.124609375,0.7841796875,1.013525390625
0.0234793526785714,0.124762834821429,0.787709263392857,1.01421595982143
0.023565673828125,0.1248779296875,0.790557861328125,1.01533813476562
0.0236328125,0.125146484375,0.789192708333333,1.01603190104167
0.0233642578125,0.1252001953125,0.7913232421875,1.0169091796875
0.023291015625,0.125390625,0.79072265625,1.018505859375
0.0233642578125,0.1254150390625,0.7930419921875,1.01943359375
0.0233022836538462,0.12568359375,0.792401592548077,1.02059044471154
0.0232491629464286,0.125798688616071,0.791852678571428,1.02146693638393
0.023203125,0.12568359375,0.791591796875,1.022333984375
0.0230621337890625,0.125784301757812,0.793780517578125,1.02339477539062
0.0229377297794118,0.125873161764706,0.793342141544118,1.02433076746324
0.023095703125,0.126041666666667,0.793400065104167,1.025341796875
0.0230674342105263,0.126277240953947,0.793451891447368,1.02650082236842
0.02344482421875,0.12624755859375,0.7951904296875,1.02794677734375
0.0234026227678571,0.126604352678571,0.795382254464286,1.02917829241071
0.02314453125,0.1265625,0.795703125,1.0306640625
0.0230489979619565,0.126734459918478,0.796066151494565,1.03174040421196
0.023095703125,0.126959228515625,0.796466064453125,1.0331298828125
0.023138671875,0.127166015625,0.79702734375,1.034794921875
0.0231783353365385,0.127294921875,0.797731370192308,1.03614595853365
0.0231553819444444,0.127473958333333,0.798323567708333,1.03763563368056
0.0231340680803571,0.127582659040179,0.798988560267857,1.03942173549107
0.023114224137931,0.127739426185345,0.800941204202586,1.04097353178879
0.0232568359375,0.127939453125,0.8018505859375,1.042529296875
0.0232862903225807,0.128490423387097,0.802753276209678,1.04388073336694
0.0232635498046875,0.128654479980469,0.803599548339844,1.04555053710937
0.0232421875,0.128857421875,0.804638671875,1.047216796875
0.0231746897977941,0.129048426011029,0.805758846507353,1.04883243336397
0.0232491629464286,0.129182477678571,0.807735770089286,1.05040178571429
0.0233194986979167,0.129353841145833,0.80875244140625,1.0519287109375
0.0233424831081081,0.129646589949324,0.809714157516892,1.05363439611486
0.0234490645559211,0.129881527549342,0.810837273848684,1.05550472861842
0.0235501802884615,0.130104417067308,0.812729116586538,1.05719651442308
0.023485107421875,0.1303564453125,0.8146875,1.05916625976562
0.0236197122713415,0.130596179496951,0.815764338795732,1.06111852134146
0.0236328125,0.130862862723214,0.816904994419643,1.06301618303571
0.0236078306686047,0.131004723837209,0.81817996002907,1.06497547238372
0.02362060546875,0.13125,0.81943359375,1.06710205078125
0.0236328125,0.131520182291667,0.820595703125,1.06909830729167
0.0236795176630435,0.131743588654891,0.821952488111413,1.07107782778533
0.0237585189494681,0.131991771941489,0.823285821143617,1.07307596409574
0.0237335205078125,0.132229614257812,0.824630737304687,1.07515869140625
0.0237095424107143,0.13245774872449,0.826052295918367,1.07745236766582
0.023783203125,0.1326767578125,0.82744921875,1.0795576171875
0.0237907858455882,0.132981962316176,0.829423253676471,1.08173828125
0.0238600510817308,0.133244441105769,0.830887545072115,1.08389704777644
0.0238963001179245,0.133466612617925,0.832357385023585,1.08609596108491
0.0239312065972222,0.133740234375,0.833802625868055,1.08833279079861
0.02396484375,0.134091796875,0.835341796875,1.090546875
0.0239972795758929,0.134373256138393,0.836883544921875,1.09273943219866
0.0240003083881579,0.134616570723684,0.838399465460526,1.09510947779605
0.0240032327586207,0.134962621228448,0.840029801993534,1.09750892376078
0.0240606792902542,0.135242319915254,0.841604872881356,1.09977241128178
0.02408935546875,0.13553955078125,0.84323486328125,1.10222900390625
0.0241435066598361,0.135853451588115,0.844864241803279,1.10468429815574
0.024169921875,0.136105248235887,0.846545016381048,1.10721632434476
0.024169921875,0.13642578125,0.848249162946428,1.10979585193452
0.024169921875,0.136711120605469,0.849874877929687,1.11226959228516
0.0241451322115385,0.137037259615385,0.851549729567308,1.11481595552885
0.0241943359375,0.1373779296875,0.8532470703125,1.1174072265625
0.0242661205690298,0.137708430503731,0.854989942863806,1.12006544426306
0.0242884018841912,0.138029210707721,0.856681554457721,1.12271656709559
0.0243333899456522,0.138317340353261,0.858837890625,1.12531419836957
0.0243770926339286,0.138666294642857,0.860587332589286,1.12795270647321
0.0243741747359155,0.138982724471831,0.862423663072183,1.13060766945423
0.0244832356770833,0.139312744140625,0.863739013671875,1.13330078125
0.0245451626712329,0.139655795162671,0.865592224957192,1.13596425513699
0.0245618665540541,0.139967799831081,0.867896167652027,1.13870816617399
0.02462109375,0.14029296875,0.8697734375,1.14155078125
0.0246575606496711,0.140630782277961,0.871580103824013,1.14425498560855
0.0247349330357143,0.140959821428571,0.873465401785714,1.14697265625
0.0247690054086538,0.141280423677885,0.875405649038462,1.14976524939904
0.0248226117484177,0.141613305973101,0.877357965783228,1.15262991989715
0.0248748779296875,0.141998291015625,0.879402465820312,1.15552368164062
0.0249059606481481,0.142333984375,0.881774450231481,1.15838577835648
0.0249362852515244,0.142681140434451,0.884127882050305,1.16133527057927
0.0249852927334337,0.143039344879518,0.886191641566265,1.16429134506777
0.0250523158482143,0.143408203125,0.888302176339286,1.16731131417411
0.0250798483455882,0.143768382352941,0.890344094669118,1.17027918198529
0.0251067405523256,0.144288812681686,0.892413472020349,1.17327171148256
0.0251330145474138,0.144630589978448,0.89447231950431,1.17636213631466
0.02515869140625,0.145001220703125,0.896649169921875,1.17947387695313
